timestamp,open,high,low,close,volume
2018-06-29,272.1200,273.6600,271.1495,271.2800,97332077
2018-06-28,269.2900,271.7500,268.4900,270.8900,76650517
2018-06-27,272.2600,273.8650,269.1800,269.3500,104960655
2018-06-26,271.6400,272.5600,270.7900,271.6000,68683211
2018-06-25,273.4400,273.6162,269.1000,271.0000,137854162
2018-06-22,275.6600,275.7850,274.4900,274.7400,56612003
2018-06-21,275.9600,275.9800,273.6800,274.2400,71061404
2018-06-20,276.2700,276.7200,275.5900,275.9700,53785486
2018-06-19,274.0000,275.7500,273.5300,275.5000,97531510
2018-06-18,275.4900,276.7000,274.9500,276.5600,52917581
2018-06-15,276.6000,277.5100,275.3500,277.1300,120041562
2018-06-14,279.0100,279.3300,278.0599,278.7300,77097620
2018-06-13,279.1900,279.4800,277.8000,278.0300,79070610
2018-06-12,279.0300,279.3300,278.1900,278.9200,72329028
2018-06-11,278.4400,279.3700,278.3100,278.5600,58892515
2018-06-08,276.8500,278.2500,276.6600,278.1900,72139719
2018-06-07,277.9500,278.2800,276.3400,277.3700,72969402
2018-06-06,275.7900,277.5200,275.0900,277.4000,62732215
2018-06-05,275.0500,275.5300,274.1800,275.1000,51135038
2018-06-04,274.5300,275.1850,274.2600,274.9000,45385166
2018-06-01,272.4100,273.9400,272.3300,273.6000,71258411
2018-05-31,272.1500,272.4900,270.2550,270.9400,93519941
2018-05-30,270.5000,273.1100,270.4200,272.6100,69678449
2018-05-29,270.3100,271.1700,267.7600,269.0200,115908607
2018-05-25,272.1500,272.8600,271.5800,272.1500,56374755
2018-05-24,272.9100,273.2200,270.7800,272.8000,76043827
2018-05-23,271.1700,273.3900,270.9900,273.3600,64694184
2018-05-22,273.9600,274.2500,272.2400,272.6100,52966358
2018-05-21,273.0100,273.9800,271.3512,273.3700,58025875
2018-05-18,271.6200,272.0300,270.9300,271.3300,64367959
2018-05-17,271.9400,273.2300,271.1300,272.0100,56536400
2018-05-16,271.1400,272.7600,271.1100,272.2400,53942631
2018-05-15,271.5900,271.6100,270.0300,271.1000,87036136
2018-05-14,273.3400,274.0800,272.3600,272.9800,54790606
2018-05-11,272.1600,273.1500,271.5800,272.8500,59871511
2018-05-10,270.3400,272.3900,270.2200,272.0200,72063931
2018-05-09,267.6800,269.8650,267.0900,269.5000,59666143
2018-05-08,266.5000,267.3250,265.1500,266.9200,67499247
2018-05-07,266.8900,268.0200,266.1100,266.9200,55304907
2018-05-04,261.5200,266.7892,261.1500,266.0200,91222075
2018-05-03,262.2600,263.3600,259.0500,262.6200,136311479
2018-05-02,264.7600,265.6800,262.7600,263.2000,86368943
2018-05-01,263.8700,265.1000,262.1100,264.9800,74203365
2018-04-30,267.2600,267.8900,264.4300,264.5100,82182324
2018-04-27,267.0000,267.3400,265.5000,266.5600,57053647
2018-04-26,264.7900,267.2452,264.2900,266.3100,67731942
2018-04-25,262.9100,264.1300,260.8500,263.6300,103756753
2018-04-24,267.7300,267.9762,261.2800,262.9800,112885452
2018-04-23,267.2600,267.8900,265.3500,266.5700,65557954
2018-04-20,268.8100,269.0600,265.6100,266.6100,99953133
2018-04-19,269.6500,269.8800,267.7200,268.8900,77655909
2018-04-18,270.6900,271.3000,269.8700,270.3900,57303857
2018-04-17,269.3300,270.8700,268.7500,270.1900,64682036
2018-04-16,267.0000,268.2000,266.0700,267.3300,63405287
2018-04-13,267.4100,267.5400,264.0100,265.1500,85079176
2018-04-12,265.2600,267.0000,265.0600,265.9300,68890480
2018-04-11,263.4700,265.6400,263.3900,263.7600,91140243
2018-04-10,264.2700,266.0400,262.9800,265.1500,105573736
2018-04-09,261.3700,264.8400,259.9356,261.0000,105442932
2018-04-06,263.4200,265.1100,258.0000,259.7200,179521209
2018-04-05,265.5500,266.6400,264.3200,265.6400,82652618
2018-04-04,256.7500,264.3550,256.6000,263.5600,123715339
2018-04-03,258.8700,261.3100,256.8400,260.7700,119956861
2018-04-02,262.5500,263.1300,254.6700,257.4700,186286343
2018-03-29,261.1200,265.2600,259.8389,263.1500,124244790
2018-03-28,260.7500,262.6400,258.5800,259.8300,146452306
2018-03-27,266.1700,266.7700,258.8400,260.6000,129941445
2018-03-26,262.1300,265.4300,259.4100,265.1100,141956102
2018-03-23,264.1700,265.0200,257.8300,258.0500,183534751
2018-03-22,267.9100,268.8700,263.3600,263.6700,148785916
2018-03-21,270.9000,273.2700,270.1900,270.4300,78709578
2018-03-20,270.9400,271.6700,270.1800,270.9500,59757271
2018-03-19,273.3500,274.3957,268.6200,270.4900,109208442
2018-03-16,274.5000,275.3900,274.1400,274.2000,100343673
2018-03-15,275.8800,276.6100,274.4300,275.0000,83433038
2018-03-14,277.8100,278.0200,274.6700,275.3000,105895079
2018-03-13,279.8400,280.4100,276.0300,276.7200,91968937
2018-03-12,279.2000,279.9100,278.0801,278.5200,71924793
2018-03-09,275.7000,278.8700,275.3400,278.8700,113625335
2018-03-08,273.5500,274.2400,272.4200,274.1000,66901150
2018-03-07,270.4200,273.1800,270.2000,272.7800,87063502
2018-03-06,273.3000,273.3900,271.1800,272.8800,79213163
2018-03-05,267.7300,272.8900,267.6100,272.1900,97307387
2018-03-02,265.8000,269.7200,264.8200,269.0800,139083217
2018-03-01,271.4100,273.1700,266.0000,267.7000,176855077
2018-02-28,275.6800,276.1900,271.2900,271.6500,121907767
2018-02-27,278.1100,278.9200,274.3600,274.4300,99099165
2018-02-26,275.9300,278.0100,275.2600,277.9000,86491406
2018-02-23,271.7900,274.7100,271.2500,274.7100,92766428
2018-02-22,271.1000,273.0500,269.6400,270.4000,110511290
2018-02-21,271.9000,274.7200,269.9400,270.0500,98883740
2018-02-20,272.0300,273.6700,270.5000,271.4000,86369662
2018-02-16,272.3200,275.3200,272.2700,273.1100,160420135
2018-02-15,271.5700,273.0400,268.7700,273.0300,111200286
2018-02-14,264.3100,270.0000,264.3000,269.5900,120735685
2018-02-13,263.9700,266.6200,263.3100,266.0000,81223640
2018-02-12,263.8300,267.0100,261.6644,265.3400,143735976
2018-02-09,260.8000,263.6100,252.9200,261.5000,283565315
2018-02-08,268.0100,268.1700,257.5900,257.6300,246449505
2018-02-07,268.5000,272.3600,267.5800,267.6700,167376100
